TIME_PERIOD,ISO2,CHANGE_INDICATOR,MTOE,TOE_HAB,COUNTRY
2016,RO,1.876,30.7,1.56,Romania
2017,RO,1.153,32.5,1.66,Romania
2018,RO,2.266,32.6,1.67,Romania
2019,RO,2.241,32.1,1.66,Romania
2020,RO,2.256,30.9,1.61,Romania
2021,RO,1.447,33.1,1.73,Romania
2022,RO,1.949,31.0,1.63,Romania
2000,SK,1.621,16.4,3.03,Slovak Rep.
2001,SK,1.237,17.2,3.2,Slovak Rep.
2002,SK,1.376,17.3,3.22,Slovak Rep.
2003,SK,0.648,17.3,3.21,Slovak Rep.
2004,SK,0.539,16.9,3.15,Slovak Rep.
2005,SK,0.395,17.4,3.24,Slovak Rep.
2006,SK,0.629,17.2,3.21,Slovak Rep.
2007,SK,2.148,16.4,3.06,Slovak Rep.
2008,SK,1.523,17.0,3.16,Slovak Rep.
2009,SK,1.496,15.5,2.88,Slovak Rep.
2010,SK,0.685,17.4,3.22,Slovak Rep.
2011,SK,0.84,16.6,3.08,Slovak Rep.
2012,SK,1.569,16.3,3.02,Slovak Rep.
2013,SK,0.949,16.4,3.03,Slovak Rep.
2014,SK,2.379,15.2,2.81,Slovak Rep.
2015,SK,2.122,15.8,2.91,Slovak Rep.
2016,SK,1.959,16.0,2.95,Slovak Rep.
2017,SK,1.276,16.8,3.08,Slovak Rep.
2018,SK,2.549,16.3,2.99,Slovak Rep.
2019,SK,2.42,16.0,2.93,Slovak Rep.
2020,SK,2.027,15.2,2.78,Slovak Rep.
2021,SK,1.287,16.4,3.02,Slovak Rep.
2022,SK,2.018,15.5,2.85,Slovak Rep.
2000,SI,1.782,6.3,3.18,"Slovenia, Rep. of"
2001,SI,1.706,6.7,3.38,"Slovenia, Rep. of"
2002,SI,1.498,6.8,3.39,"Slovenia, Rep. of"
2003,SI,1.426,6.8,3.42,"Slovenia, Rep. of"
2004,SI,0.726,7.0,3.5,"Slovenia, Rep. of"
2005,SI,0.476,7.3,3.62,"Slovenia, Rep. of"
2006,SI,0.86,7.2,3.58,"Slovenia, Rep. of"
2007,SI,2.165,7.3,3.61,"Slovenia, Rep. of"
2008,SI,1.574,7.7,3.82,"Slovenia, Rep. of"
2009,SI,1.628,6.8,3.34,"Slovenia, Rep. of"
2010,SI,0.769,7.0,3.43,"Slovenia, Rep. of"
2011,SI,1.354,7.1,3.46,"Slovenia, Rep. of"
2012,SI,1.931,6.8,3.32,"Slovenia, Rep. of"
2013,SI,1.234,6.7,3.23,"Slovenia, Rep. of"
2014,SI,2.431,6.4,3.1,"Slovenia, Rep. of"
2015,SI,2.125,6.3,3.07,"Slovenia, Rep. of"
2016,SI,2.046,6.6,3.17,"Slovenia, Rep. of"
2017,SI,1.721,6.7,3.26,"Slovenia, Rep. of"
2018,SI,2.412,6.7,3.21,"Slovenia, Rep. of"
2019,SI,2.34,6.5,3.12,"Slovenia, Rep. of"
2020,SI,2.228,6.2,2.93,"Slovenia, Rep. of"
2021,SI,1.524,6.3,3.0,"Slovenia, Rep. of"
2022,SI,2.435,6.2,2.93,"Slovenia, Rep. of"
2000,ES,0.81,114.5,2.82,Spain
2001,ES,1.406,117.5,2.88,Spain
2002,ES,0.812,121.3,2.93,Spain
2003,ES,1.598,126.1,2.99,Spain
2004,ES,1.004,132.8,3.09,Spain
2005,ES,0.902,136.0,3.12,Spain
2006,ES,1.526,136.6,3.08,Spain
2007,ES,0.835,138.8,3.07,Spain
2008,ES,0.864,133.9,2.91,Spain
2009,ES,1.36,123.0,2.65,Spain
2010,ES,0.908,123.0,2.64,Spain
2011,ES,1.613,122.7,2.62,Spain
2012,ES,1.043,123.0,2.63,Spain
2013,ES,0.906,115.7,2.48,Spain
2014,ES,1.603,113.8,2.45,Spain
2015,ES,1.533,118.2,2.54,Spain
2016,ES,1.714,118.4,2.55,Spain
2017,ES,2.036,124.9,2.68,Spain
2018,ES,1.149,124.3,2.66,Spain
2019,ES,1.534,120.6,2.56,Spain
2020,ES,2.083,105.0,2.22,Spain
2021,ES,1.431,111.5,2.35,Spain
2022,ES,2.489,113.2,2.37,Spain
2000,SE,1.721,46.0,5.18,Sweden
2001,SE,1.071,48.5,5.45,Sweden
2002,SE,1.566,49.1,5.5,Sweden
2003,SE,0.914,48.5,5.41,Sweden
2004,SE,1.198,50.5,5.61,Sweden
2005,SE,1.825,49.0,5.43,Sweden
2006,SE,1.485,47.7,5.25,Sweden
2007,SE,1.938,47.4,5.18,Sweden
2008,SE,1.954,47.3,5.12,Sweden
2009,SE,1.432,43.1,4.63,Sweden
2010,SE,-0.279,48.3,5.15,Sweden
2011,SE,1.267,47.6,5.03,Sweden
2012,SE,1.313,47.5,4.98,Sweden
2013,SE,0.857,46.4,4.84,Sweden
2014,SE,2.704,46.0,4.74,Sweden
2015,SE,2.069,43.8,4.47,Sweden
2016,SE,1.841,45.4,4.57,Sweden
2017,SE,1.588,46.4,4.61,Sweden
2018,SE,1.844,47.3,4.64,Sweden
2019,SE,1.568,45.8,4.45,Sweden
2020,SE,2.943,41.3,3.99,Sweden
2021,SE,1.846,43.3,4.16,Sweden
2022,SE,2.11,42.5,4.05,Sweden
2000,GB,0.724,222.0,3.77,United Kingdom
2001,GB,0.631,224.0,3.79,United Kingdom
2002,GB,1.011,220.0,3.71,United Kingdom
2003,GB,1.194,223.8,3.75,United Kingdom
2004,GB,1.035,221.4,3.69,United Kingdom
2005,GB,1.116,223.5,3.7,United Kingdom
2006,GB,1.25,220.4,3.62,United Kingdom
2007,GB,1.332,214.5,3.5,United Kingdom
2008,GB,0.838,211.8,3.43,United Kingdom
2009,GB,0.948,196.0,3.15,United Kingdom
2010,GB,-0.05,205.1,3.27,United Kingdom
2011,GB,0.851,190.1,3.0,United Kingdom
2012,GB,0.576,195.2,3.06,United Kingdom
2013,GB,0.364,191.6,2.99,United Kingdom
2014,GB,1.718,180.7,2.8,United Kingdom
2015,GB,0.614,182.6,2.8,United Kingdom
2016,GB,1.161,179.4,2.73,United Kingdom
2017,GB,1.424,177.3,2.68,United Kingdom
2018,GB,0.998,177.2,2.67,United Kingdom
2019,GB,1.231,174.3,2.61,United Kingdom
2020,GB,1.373,174.3,2.61,United Kingdom
2021,GB,0.929,174.3,2.61,United Kingdom
2022,GB,1.911,174.3,2.61,United Kingdom
